ID,INV,DATE,CATALOG,PCODE,QTY,custnum
1,107707,3/97/7 00:00:00,Sports,SP1000,1,1242
2,110633,3/97/25 00:00:00,Gardening,GD2200,1,1243
3,111155,3/97/28 00:00:00,Pets,PT1300,3,1244
4,126867,6/97/22 00:00:00,Toys,TY4100,1,1245
5,135872,8/97/8 00:00:00,Toys,TY1200,4,1246
6,135872,8/97/8 00:00:00,Toys,TY2100,1,1247
7,135872,8/97/8 00:00:00,Toys,TY2300,1,1248
8,135872,8/97/8 00:00:00,Toys,TY4100,1,1249
9,140623,9/97/2 00:00:00,Software,SW8511,4,125
10,141408,9/97/6 00:00:00,Sports,SP1500,1,1250
11,168285,2/98/1 00:00:00,Gardening,GD3100,3,1251
12,168285,2/98/1 00:00:00,Gardening,GD3300,1,1252
13,168285,2/98/1 00:00:00,Gardening,GD3400,1,1253
14,168285,2/98/1 00:00:00,Gardening,GD4300,3,1254
15,243353,4/98/7 00:00:00,Software,SW5338,2,1255
16,243377,4/98/24 00:00:00,Pets,PT2300,2,1256
17,243377,4/98/24 00:00:00,Pets,PT2400,2,1257
18,207772,8/98/2 00:00:00,Sports,SP1200,1,1258
19,213285,8/98/25 00:00:00,Toys,TY3700,3,1259
20,225108,10/98/14 00:00:00,Pets,PT3100,1,126
21,236334,12/98/1 00:00:00,Toys,TY1600,1,1260
22,126867,9/00/29 00:00:00,Toys,TY4100,1,1261
23,135872,11/00/15 00:00:00,Toys,TY1200,4,1262
24,135872,11/00/15 00:00:00,Toys,TY2100,1,1263
25,135872,11/00/15 00:00:00,Toys,TY2300,1,1264
26,135872,11/00/15 00:00:00,Toys,TY4100,1,1265
27,140623,12/00/10 00:00:00,Software,SW8511,4,1266
28,118448,5/97/8 00:00:00,Pets,PT3500,3,1267
29,121273,5/97/23 00:00:00,Toys,TY1800,2,1268
30,143116,9/97/15 00:00:00,Sports,SP2400,4,1269
31,157565,12/97/1 00:00:00,Sports,SP2700,4,127
32,170191,2/98/12 00:00:00,Pets,PT4300,1,1270
33,243375,4/98/21 00:00:00,Sports,SP1600,2,1271
34,243375,4/98/21 00:00:00,Sports,sp2000,3,1272
35,243375,4/98/21 00:00:00,Sports,SP3000,4,1273
36,184709,4/98/24 00:00:00,Pets,PT3300,1,1274
37,184709,4/98/24 00:00:00,Pets,PT3300,1,1275
38,184709,4/98/24 00:00:00,Pets,PT4200,1,1276
39,184709,4/98/24 00:00:00,Pets,PT4500,1,1277
40,196588,6/98/15 00:00:00,Gardening,GD1001,1,1278
41,196588,6/98/15 00:00:00,Gardening,GD1400,1,1279
42,196588,6/98/15 00:00:00,Gardening,GD4000,1,128
43,203157,7/98/13 00:00:00,Toys,TY4700,1,1280
44,204292,7/98/18 00:00:00,Sports,SP1100,2,1281
45,227219,10/98/23 00:00:00,Sports,SP1500,1,1282
46,232145,11/98/13 00:00:00,Software,SW3895,1,1283
47,240570,12/98/19 00:00:00,Pets,PT3300,1,1284
48,240783,12/98/20 00:00:00,Toys,TY5200,4,1285
49,242124,12/98/26 00:00:00,Collectibles,CC3200,1,1286
50,118448,8/00/15 00:00:00,Pets,PT3500,3,1287
51,121273,8/00/30 00:00:00,Toys,TY1800,2,1288
52,170191,05/01/22 0:00:00,Pets,PT4300,1,1289
53,100376,1/97/15 00:00:00,Pets,PT2100,1,129
54,142332,9/97/11 00:00:00,Toys,TY1100,2,1290
55,142332,9/97/11 00:00:00,Toys,TY3200,2,1291
56,142332,9/97/11 00:00:00,Toys,TY4200,1,1292
57,142332,9/97/11 00:00:00,Toys,TY5300,1,1293
58,157181,11/97/29 00:00:00,Sports,SP1200,1,1294
59,167282,1/98/26 00:00:00,Sports,SP2200,1,1295
60,167282,1/98/26 00:00:00,Sports,SP2300,1,1296
61,167282,1/98/26 00:00:00,Sports,SP2400,1,1297
62,176148,3/98/15 00:00:00,Software,SW7935,1,1298
63,243374,4/98/21 00:00:00,Collectibles,CC1100,1,1299
